№ п/п,Регион,Полигон,ID Объекта,Отсутствие ванн для дезинфекции колес ,Выход полигона за границы кадастрового участка,Расположение объекта на расстоянии менее 15 км от действующего аэродрома,Не выполняется пересыпка тела полигона,"Отсутствие КПП, ворот или шлагбаума ",Отсутствие ограждения по периметру полигона ,Отсутствие весового контроля ,Наличие тлений и возгораний на теле полигона,Заболачивание и подтопление полигона ,Отсутствие обводных каналов ,Выход фильтрата за границы отведенного земельного участка,"Размещение фракций, не относящихся к ТКО",Разлет фракций на прилегающие территории ,Нарушение санитарно - защитной зоны,Координаты,Спутниковое изображение
356,Республика Коми,Полигон твердых бытовых отходов с. Айкино,669,да,нет,нет,да,да,да,да,нет,нет,нет,да,да,да,нет,"62.265817, 49.961607",0
357,Республика Коми,Полигон твердых бытовых отходов в м. Дырнос г. Сыктывкара,670,нет,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,да,"61.687446, 50.720426",0
355,Республика Коми,Полигон твердых бытовых отходов г. Печора,671,да,нет,да,да,да,да,нет,нет,нет,да,да,нет,нет,нет,"65.16279, 57.418261",0
352,Республика Коми,Полигон твердых бытовых и промышленных отходов КС-3 в г. Вуктыл,672,да,да,нет,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,"63.76085, 57.188127",0
358,Свердловская область,Свалка бытовых отходов,676,да,да,нет,да,да,да,нет,нет,нет,нет,да,нет,да,нет,"59.801868, 60.196216",0
359,Свердловская область,Полигон бытовых и промышленных отходов,677,да,да,нет,да,да,да,нет,да,нет,да,да,да,нет,нет,"57.11377, 61.72721",0
360,Свердловская область,Полигон ТБО и ПО ООО «Энергия»,678,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,да,нет,нет,"58.678391, 59.527883",0
361,Свердловская область,"Полигон ТБО, г. Асбест",679,нет,да,нет,да,да,да,нет,нет,нет,да,да,да,да,да,"56.976996, 61.522161",0
429,Нижегородская область,Полигон ТБО в Богородском районе д. Лазарево Нижегородской области»,680,нет,да,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,"56.068053, 43.596686",0
362,Свердловская область,"Полигон (свалка) ТБО и ПО, г. Верхняя Салда",681,да,да,нет,нет,да,да,да,нет,нет,да,да,да,да,нет,"58.082328, 60.577773",1
363,Свердловская область,Полигон ТБО г. Красноуфимск,682,нет,да,нет,да,нет,да,нет,нет,нет,да,да,да,да,да,"56.622862, 57.822078",0
364,Свердловская область,Свалка твердых бытовых отходов п.г.т. Староуткинск,683,да,нет,нет,да,да,нет,да,да,нет,да,да,нет,да,нет,"57.208341, 59.286126",0
347,Псковская область,ОРО «Дешково»,684,да,нет,нет,да,нет,да,нет,нет,да,да,да,да,да,да,"56.962488, 29.927078",0
348,Псковская область,Объект размещения отходов городская свалка г. Великие Луки,685,нет,да,нет,нет,нет,да,да,нет,нет,да,да,нет,нет,да,"56.345301, 30.37207",0
349,Псковская область,Свалка (полигон) бытовых отходов Невельского района,686,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,да,нет,"56.084841, 29.89504",0
350,Псковская область,Объект захоронения отходов (ГРОРО 60-00005-З-00592-250914 от 25.09.2014),687,да,да,нет,нет,да,да,нет,нет,нет,да,да,нет,да,да,"56.707937, 28.611585",0
351,Псковская область,Новосокольническая городская свалка,688,да,да,нет,да,нет,да,нет,нет,нет,да,да,нет,да,нет,"56.296863, 30.203437",0
430,Нижегородская область,Межмуниципальный полигон ТБО на территории Городецкого района,690,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,"56.655616, 43.767634",0
440,Республика Марий Эл,Полигон ТБО Медведевского района,691,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,"56.62709, 47.555794",0
388,Приморский край,Полигон твердых бытовых отходов,789,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,"45.122124, 136.531785",0
389,Приморский край,Полигон твердых коммунальных отходов,790,да,да,нет,да,да,да,да,нет,нет,да,да,нет,да,нет,"44.284928, 134.884542",0
390,Приморский край,Полигон твердых коммунальных отходов,791,да,да,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,"44.545566, 132.818311",0
391,Приморский край,Полигон твердых коммунальных отходов,792,нет,нет,нет,да,да,да,нет,нет,нет,да,да,нет,нет,да,"43.163486, 133.204906",0
392,Приморский край,Полигон твердых бытовых отходов,793,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,да,да,"43.837075, 132.028742",0
393,Приморский край,Полигон твердых бытовых отходов,794,да,да,нет,да,да,да,нет,да,нет,да,нет,нет,нет,да,"44.507337, 135.671344",0
394,Приморский край,Полигон твердых бытовых отходов,795,да,да,нет,да,да,да,да,нет,нет,да,да,да,нет,нет,"42.89323, 131.332276",0
395,Приморский край,Полигон твердых коммунальных отходов,796,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,"45.135857, 133.542796",0
396,Приморский край,Полигон твердых коммунальных отходов,797,да,да,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,да,"42.871492, 133.049367",0
397,Приморский край,Полигон твердых коммунальных отходов,798,да,да,нет,да,да,да,да,нет,нет,да,да,нет,да,нет,"44.737477, 136.248335",0
398,Республика Бурятия,Полигон ТКО в п. Заиграево,799,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,"51.823139, 108.228317",0
399,Республика Бурятия,Полигон ТКО в МО СП «Эгитуйское»,800,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,"52.403541, 110.809672",0
400,Республика Бурятия,Полигон ТБО в г. Гусиноозерск,801,нет,да,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,да,"51.2639, 106.525911",0
401,Забайкальский край,Полигон ТКО в г. Краснокаменск,802,да,да,нет,да,да,да,да,нет,нет,нет,нет,нет,нет,нет,"50.113639, 117.941836",0
370,Магаданская область,Полигон ТБО п. Омсукчан,803,да,да,нет,да,да,да,да,нет,нет,да,нет,нет,нет,нет,"62.548203, 155.831851",1
