№ п/п,Регион,Полигон,ID Объекта,Отсутствие ванн для дезинфекции колес ,Выход полигона за границы кадастрового участка,Расположение объекта на расстоянии менее 15 км от действующего аэродрома,Не выполняется пересыпка тела полигона,"Отсутствие КПП, ворот или шлагбаума ",Отсутствие ограждения по периметру полигона ,Отсутствие весового контроля ,Наличие тлений и возгораний на теле полигона,Заболачивание и подтопление полигона ,Отсутствие обводных каналов ,Выход фильтрата за границы отведенного земельного участка,"Размещение фракций, не относящихся к ТКО",Разлет фракций на прилегающие территории ,Нарушение санитарно - защитной зоны,Координаты,Спутниковое изображение
91,Республика Татарстан,полигон ТБО г.Набережные Челны,372,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,"55.681656, 52.566977",0
92,Республика Татарстан,полигон ТБО с.Старое Дрожжаное,373,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,"54.699143, 47.556066",0
93,Республика Татарстан,Малореченский полигон ТБО,374,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,"55.798497, 51.869768",0
94,Республика Татарстан,полигон ТБО г.Заинск,375,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,да,нет,нет,"55.349856, 51.861779",0
95,Республика Татарстан,полигон ТБО г.Зеленодольск,376,нет,да,нет,нет,да,да,нет,нет,нет,нет,да,да,нет,да,"55.860761, 48.607946",0
96,Республика Татарстан,Кукморский полигон ТБО,377,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,"56.189123, 50.984327",0
97,Республика Татарстан,полигон ТБО г.Лениногорск,378,да,да,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,"54.581585, 52.550495",0
98,Республика Татарстан,полигон ТБО г.Менделеевск,379,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,"55.930588, 52.344562",0
99,Республика Татарстан,полигон ТБО г.Нижнекамск,380,да,да,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,"55.542525, 51.761022",0
100,Республика Татарстан,полигон ТБО в пгт.Камские Поляны,381,нет,нет,нет,нет,да,нет,да,нет,нет,нет,да,нет,нет,да,"55.43353, 51.346134",0
101,Республика Татарстан,полигон ТБО г.Нурлат,382,да,да,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,"54.455055, 50.855368",0
102,Республика Татарстан,полигон ТБО пгт.Рыбная Слобода,383,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,"55.48015, 50.184833",1
103,Республика Татарстан,полигон ТБО н.п. Богатые Сабы,384,нет,нет,нет,нет,нет,да,да,да,да,да,да,да,нет,нет,"56.014051, 50.395029",0
104,Республика Татарстан,полигон ТБО с.Шемордан Сабинского района Республики Татарстан,385,да,да,нет,да,нет,да,да,нет,нет,да,да,да,нет,нет,"56.208264, 50.39694",0
105,Республика Татарстан,Джалильский полигон ТБО,386,нет,да,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,"55.064343, 52.748431",0
106,Республика Татарстан,полигон ТБО с.Сарманово,387,да,да,нет,нет,нет,нет,нет,нет,да,да,да,да,нет,нет,"55.256421, 52.651669",0
107,Республика Татарстан,полигон захоронения ТКО Спасского муниципального района,388,да,да,нет,нет,нет,да,да,нет,нет,да,да,нет,да,нет,"54.941767, 49.051125",0
108,Республика Татарстан,полигон ТБО г.Тетюши,389,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,"54.976348, 48.833361",0
109,Республика Татарстан,Тюлячинский полигон ТБО,390,нет,да,нет,нет,да,нет,да,нет,да,да,да,да,нет,да,"55.876674, 50.232359",0
110,Республика Татарстан,полигон ТБО Черемшанского района Республики Татарстан,391,нет,да,нет,да,нет,да,да,нет,нет,да,да,нет,нет,да,"54.634322, 51.510261",0
111,Республика Татарстан,полигон ТБО г.Чистополь,392,да,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,"55.336355, 50.694483",0
112,Республика Татарстан,полигон ТБО Ютазинского района,393,да,нет,да,нет,нет,да,нет,нет,нет,да,нет,да,нет,нет,"54.530302, 53.306174",0
122,Пензенская область,Полигон ТКО г.Пенза,400,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,"53.234492, 45.206231",0
113,Республика Мордовия,Полигон по размещению ТБО и приравненных к ним промышленных отходов Лямбирский район,408,нет,да,да,нет,нет,да,нет,да,нет,нет,да,нет,нет,нет,"54.27022, 45.425998",0
114,Республика Мордовия,Полигон для захоронения ТБО г.п. Рузаевка,409,да,да,да,нет,да,да,нет,да,нет,да,нет,да,да,нет,"54.073997, 45.035351",0
115,Республика Мордовия,Полигон ТБО Ромодановский район,410,да,да,нет,нет,да,да,да,нет,нет,нет,да,нет,да,нет,"54.429073, 45.289463",0
116,Республика Мордовия,Полигон ТБО Зубово-Полянский район,411,да,да,нет,да,нет,да,да,нет,нет,да,да,нет,да,да,"54.414282, 42.816976",0
117,Республика Мордовия,Полигон ТБО Старошайговский район,412,да,да,нет,да,да,да,да,нет,нет,нет,да,да,да,да,"54.327479, 44.473603",0
118,Республика Мордовия,Полигон ТБО Ардатовский район,413,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,нет,нет,нет,"54.823339, 46.260859",0
119,Республика Мордовия,Полигон ТБО Дубенский район,414,да,да,нет,да,нет,да,да,нет,нет,нет,нет,нет,да,нет,"54.379965, 46.26473",0
120,Республика Мордовия,Полигон ТБО Чамзинский район,415,да,да,нет,нет,да,да,да,нет,нет,да,нет,нет,нет,нет,"54.379754, 45.723272",0
121,Республика Мордовия,Полигон ТБО Инсарский район,416,да,да,нет,нет,да,да,да,да,нет,да,да,да,да,да,"53.857768, 44.333023",0
123,Пензенская область,Полигон ТКО р.п. Исса,417,да,да,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,"53.902282, 44.869793",0
124,Пензенская область,Полигон ТКО р.п. Городище,418,да,да,нет,нет,да,да,да,нет,нет,нет,да,да,да,нет,"53.290337, 45.745532",0
125,Пензенская область,Полигон ТКО р.п.Мокшан,419,нет,да,нет,да,да,нет,да,нет,нет,нет,да,да,да,нет,"53.451518, 44.662394",0
126,Пензенская область,Полигон ТКО р.п. Шемышейка,420,да,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,да,нет,"52.908549, 45.354412",0
127,Пензенская область,Полигон ТКО р.п. Каменка,421,да,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,да,"53.152813, 43.94473",0
128,Пензенская область,Полигон ТКО р.п. Земетчино,422,да,нет,нет,нет,нет,да,да,нет,нет,да,да,нет,да,да,"53.510096, 42.584981",0
129,Пензенская область,Полигон ТКО р.п. Пачелма,423,да,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,да,"53.337687, 43.347201",0
51,Вологодская область,Полигон ТБО с. Кичменгский Городок,424,нет,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,"60.010165, 45.906689",0
138,Курганская область,"Полигон ТКО, на территории Курганской обл., Далматовского района",443,да,да,нет,да,нет,да,да,нет,нет,да,да,нет,нет,нет,"56.252425, 63.024295",0
139,Курганская область,"Полигон ТБО, на территории Курганской области Кетовского района",444,нет,да,да,нет,нет,нет,нет,нет,нет,нет,да,да,да,нет,"55.595031, 65.219217",0
187,Кировская область,Полигон ТБО Пижанский район,445,да,нет,нет,да,да,нет,нет,нет,да,да,да,нет,нет,нет,"57.459797, 48.672428",0
188,Кировская область,Полигон ТБО д. Антипичи Орловского района,446,да,да,нет,да,да,да,нет,да,нет,да,да,нет,нет,нет,"58.578648, 48.920812",0
189,Кировская область,Полигон ТБО пгт. Нагорск,447,нет,да,нет,да,да,нет,нет,нет,нет,нет ,да,нет,нет,да,"59.285609, 50.744756",0
190,Кировская область,Полигон ТБО «Афанасьево»,448,да,нет,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,"58.907709, 53.299513",0
